id,title,description,release_year,runtime,first_genre,second_genre,country,first_keyword,second_keyword,third_keyword,my_rating
tm483997,The Kissing Booth 2,"In the sequel to 2018's THE KISSING BOOTH, high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everything.",2020,134,comedy,romance,GB,Booth,Kissing,Noah,7.065511306785325
tm838876,Undercover Brother 2,"Sixteen years ago, Undercover Brother and his younger brother were hot on the heels of the leader of a racist, worldwide syndicate, but accidentally got caught in an avalanche of white snow. After they were discovered and thawed out, Undercover Brother remained in a coma. Now, it is up to his little brother to finish the job they started.",2019,85,comedy,action,US,Undercover,Brother,Sixteen,3.835727486469672
tm819054,Dear Mother,"One day, Jean-Louis discovers that his heart has stopped. He is not dead, can walk and talk, but his heart is no longer beating. With the help of his wife and a friend, he tries to understand the origin of this mystery.",2020,98,comedy,drama,BE,Mother,Dear,day,5.883508189247506
tm915043,The F**k-It List,"After a prank blows up a studious high school senior's life, he shares a list of certain things he wishes he'd done differently — and maybe still can.",2020,103,comedy,no_second-genre,US,List,k-It,life,5.843962770094216
tm827304,LEGO Marvel Spider-Man: Vexed by Venom,"Thanks to Green Goblin and Venom, tech theft is now at an all-time high. Can our Friendly Neighborhood Spider-Man put an end to their mysterious villainous scheme before all of New York City is destroyed?",2019,21,animation,action,US,Venom,LEGO,Vexed,7.150823775870565
tm954303,Ni de coña,"Four couples attend a spiritual retreat in the Caribbean to safe their relationships. They have to overcome the tests set by 2 unusual love gurus, and fight for their own lives, which wasn't part of the plan.",2020,90,comedy,european,CO,Caribbean,relationships,coña,4.643299602622072
tm917846,The Letter Reader,"While struggling to adapt to a new environment, Siyabonga, a 12-year-old boy discovers the impact of reading letters to people. One day a letter with bad news lands in his hands.",2019,29,drama,no_second-genre,ZA,Siyabonga,Reader,environment,6.8
tm467467,Homecoming: A Film by Beyoncé,"This intimate, in-depth look at Beyoncé's celebrated 2018 Coachella performance reveals the emotional road from creative concept to cultural movement.",2019,137,documentation,music,US,Homecoming,Coachella,Beyoncé,7.9205191198130676
tm467848,NiNoKuni,"Adapted from the video game series of the same name, NiNoKuni follows high school peers Yuu and Haru who must travel between two separate yet parallel worlds to help save their childhood friend, Kotona, whose life is in danger. In this magical quest complicated by love, the three teens will be tasked with making the ultimate choice.",2019,106,family,fantasy,JP,Kotona,NiNoKuni,Adapted,6.613738528270034
tm917974,Hard Kill,"The work of billionaire tech CEO Donovan Chalmers is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.",2020,98,thriller,action,US,Kill,CEO,Donovan,4.02722531043379
tm848443,World Famous Lover,"An amalgamation of four different love stories: Seenayya and Suvarna, a middle-class couple in a small town; Gautham, an uber-cool youngster romancing in the streets of Paris with his girlfriend Iza, Union Leader Srinu head over heels in love with his boss lady, and and the first college romance.",2020,156,romance,drama,IN,Gautham,Seenayya,Suvarna,5.384607181191793
tm917822,The 2nd,"Secret-service agent Vic Davis is on his way to pick up his estranged son, Sean, from his college campus when he finds himself in the middle of a high-stakes terrorist operation. His son's friend Erin Walton, the daughter of Supreme Court Justice Walton is the target, and this armed faction will stop at nothing to kidnap her and use her as leverage for a pending landmark legal case.",2020,93,action,drama,US,Sean,Secret-service,Vic,4.795836260863702
tm889018,Nobody Knows I'm Here,"Memo lives on a remote Chilean sheep farm, hiding a beautiful singing voice from the outside world. A recluse with a glittery flair, he can't stop dwelling on the past, but what will happen once someone finally listens?",2020,91,drama,music,CL,Memo,Chilean,farm,6.801884814815516
tm843768,John Mulaney & The Sack Lunch Bunch,"John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",2019,70,comedy,family,US,Mulaney,John,Sack,7.216248075556403
tm846166,Pets United,"When Roger (a Robin Hood-esque, stray dog) and Belle (an elegant yet spoilt pet cat) are thrown together amidst the chaos of a robot take-over of their home city, they must push all their preconceptions aside in order to survive, as they embark on a high-stakes, action-packed adventure.",2019,89,comedy,animation,CN,Roger,Hood-esque,Belle,5.81158449076093
tm819107,Aziz Ansari: Right Now,"Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate.",2019,65,comedy,no_second-genre,US,Ansari,Aziz,wokeness,7.450879146806134
tm886086,Seized,"Hiding out with his son Taylor on the Mexican coast, Nero hopes to put his violent Special Forces career behind him. But after Nero’s home is attacked and Taylor is abducted, the mysterious Mzamo orders Nero to slaughter the members of three rival crime syndicates. If he fails, Taylor will die. Now, with bullets flying and bodies dropping as Nero completes his mission, he races to find Mzamo’s hideout and seek revenge.",2020,85,action,thriller,US,Nero,Hiding,Mexican,6.406847088184642
tm847629,Dolly Parton: Here I Am,"Dolly Parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career.",2019,89,documentation,music,GB,Parton,Dolly,moving,7.573415331993449
tm375446,Asphalt Burning,"The third and final instalment in the Burnout trilogy. This time, the road leads through Norway, to Sweden, Denmark and finally Germany to race on the famous racing track, Nürburgring.",2020,100,comedy,action,NO,Burning,Burnout,Asphalt,5.3676126991888795
tm881859,A Secret Love,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",2020,83,documentation,drama,US,Secret,Love,Amid,7.502013018787015
tm986700,All My Friends Are Dead,"A group of friends at a New Year’s Eve party go through a whirlwind of events that exposes secrets, breaks hearts — and leads to a shocking outcome.",2020,95,comedy,drama,PL,Friends,Dead,Year,5.860267968429305
tm674099,Rose Island,"An idealistic engineer builds his own island off the Italian coast and declares it a nation, drawing the world's attention. Values are tested when the Italian Government declares him an enemy, but to change the world risks must be taken.",2020,117,drama,comedy,IT,Island,Italian,Rose,7.038268416760211
tm434830,The Grizzlies,"In a small Arctic town struggling with the highest suicide rate in North America, a group of Inuit students' lives are transformed when they are introduced to the sport of lacrosse.",2019,106,drama,sport,CA,America,Grizzlies,Arctic,7.530963120080273
